Nama Restaurant,Rating,Price,Daerah,Tipe_1,Tipe_2,Tipe_3,Label
Maxx Coffee,3.2,50000,"MRCCC Siloam Hospital, Sudirman, Jakarta",Kopi,Tea,Desserts,1
Kopi Kalyan,4.3,50000,"Senopati, Jakarta",Kafe,Barat,Indonesia,1
Sleepyhead Coffee,4.3,50000,"Senopati, Jakarta",Kafe,-,-,1
Publichood Coffee Shop,3.9,50000,"Equity Tower, SCBD, Jakarta",Kafe,Roti,-,1
Pecel Ramidjan,3.6,50000,"Senopati, Jakarta",Jawa,-,-,1
Marcoffee Bistro,3.3,50000,"Menara Jamsostek, Gatot Subroto, Jakarta",Kafe,Kopi,-,1
Grabba Java Kafe,4,50000,"Alamanda Tower, Cilandak, Jakarta",Indonesia,Jepang,Chinese,1
Nitro Coffee,3.8,50000,"Senopati, Jakarta",Kopi,-,-,1
Louie Coffee,3.8,50000,"Pondok Indah, Jakarta",Kafe,Kopi,Tea,1
Koko Bogana,4,50000,"Senopati, Jakarta",Jawa,-,-,1
Coffite - Quality Street Coffee,3.9,50000,"Tebet, Jakarta",Kafe,Kopi,Itali,1
MASALALU,3.9,50000,"Tebet, Jakarta",Indonesia,-,-,1
Mie Ceker Bandung,3.6,50000,"Tebet, Jakarta",Bakmi,Sunda,-,1
Kambing Babeh Dolof,4,50000,"Kemang, Jakarta",Indonesia,-,-,1
Nasi Jeruk Tanggal Tua,3.8,50000,"Fatmawati, Jakarta",Indonesia,-,-,1
House Of Sore,3.6,50000,"Tebet, Jakarta",Kafe,Kopi,-,1
Emji Coffee Bar & Space,3.4,50000,"Kuningan, Jakarta",Kopi,Tea,Desserts,1
Saung Rasa,3.7,50000,"Tebet, Jakarta",Indonesia,-,-,1
CoPaste (Coffee Pasar Tebet),3,50000,"Tebet, Jakarta",Kopi,Desserts,-,1
Cravefeine,3.8,50000,"Menara Dea, Kuningan, Jakarta",Kafe,-,-,1
Give Me Five Coffee & Burger Bar,3.7,50000,"Manggarai, Jakarta",Kopi,Burger,-,1
Warung Tohang,3.3,50000,"Tebet, Jakarta",Medan,Indonesia,-,1
Def3logie Poolside Kafe,3.6,50000,"Lebak Bulus, Jakarta",Kopi,Itali,Indonesia,1
Backyard 52C,3.8,50000,"Setiabudi, Jakarta",Makanan Jalanan,Desserts,-,1
Bunna Coffee,3.7,50000,"Senopati, Jakarta",Kopi,Kafe,-,1
D'bubbles Shisha Kafe,3.9,50000,"Tebet, Jakarta",Kopi,Arabian,Itali,1
Pittsa Lokal,3.7,50000,"Blok M, Jakarta",Pizza,-,-,1
Omio Coffee,3.7,50000,"Kemang, Jakarta",Kopi,-,-,1
